ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;"Seleccione el Comité de Bienestar al cual pertenece (si no lo conoce, por favor consulte con el encargado de bienestar de su unidad):
";Componente / Jefatura:;Componente / Jefatura:2;Componente / Jefatura:3;Componente / Jefatura:4;Componente / Jefatura:5;Componente / Jefatura:6;Componente / Jefatura:7;Componente / Jefatura:8;Componente / Jefatura:9;Componente / Jefatura:10;Componente / Jefatura:11;Componente / Jefatura:12;Componente / Jefatura:13;Componente / Jefatura:14;Componente / Jefatura:15;Componente / Jefatura:16;Seleccione la categoría a la cual pertenece:;Seleccione la categoría a la cual pertenece:2;Grado:;Grado:2;Tiempo en la institución:;Estado civil:;"¿CONOCE EL PROGRAMA DE INCENTIVOS?
Enfocado en reconocer el compromiso y desempeño del personal en el logro de resultados. Ejemplo de actividades relacionadas con el programa: Medallas, condecorac...";Dentro del Programa de Incentivos ¿La entrega de incentivos o reconocimientos que ha recibido usted está acorde a su nivel de compromiso y las labores que desempeña?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).;Dentro del Programa de Incentivos ¿Ha evidenciado o ha sido participe de la entrega de incentivos o reconocimientos por la labor y compromiso a otros tripulantes de la institución?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).2;"¿CONOCE EL PROGRAMA DE RECREACIÓN Y CULTURA?
Orientado a propender por el aprovechamiento del tiempo libre mediante el desarrollo de actividades recreativas y culturales. Ejemplo de actividades re...";¿Valora usted como positivas las actividades del programa de recreación y cultura que se hacen en su unidad?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).3;¿Los tripulantes de su unidad valoran como positivas las actividades del programa de recreación y cultura que se hacen?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).4;"¿CONOCE EL PROGRAMA DE DEPORTES Y CULTURA FÍSICA?
Encaminado a estimular el espíritu deportivo y la práctica de actividades que fortalezcan la cultura física y promuevan hábitos de vida saludable....";¿Las actividades del programa de deporte y cultura física que implementan en su unidad incentivan a la práctica de disciplinas deportivas y a mantener la cultura del entrenamiento físico?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).5;"¿CONOCE EL PROGRAMA DE SERVICIOS EDUCATIVOS (COLEGIOS NAVALES)?
Encaminado a prestar el servicio educativo a los hijos de los tripulantes de la institución a través de los Colegios Navales.";¿Está conforme con el servicio educativo ofrecido por los Colegios Navales? (Si no es o no ha sido usuario por favor seleccione la respuesta de acuerdo a su percepción);Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).6;"¿CONOCE EL PROGRAMA DE ORIENTACIÓN SOCIOFAMILIAR?
  Direccionamiento de estrategias y recursos institucionales para la realización de talleres de proyecto de vida, prevención de violencias, crisis...";¿Los servicios del programa de orientación y/o educación sociofamiliar ofrecidos por las Oficinas de Atención a la Familia son satisfactorios? (Si no es o no ha sido usuario por favor seleccione l...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).7;"¿CONOCE EL PROGRAMA DE SERVICIOS FUNERARIOS?
Facilitar la coordinación de los servicios funerarios y de inhumación del personal en servicio activo, de la reserva y pensionados de la Armada Naciona...";¿El acompañamiento y orientación por parte de la Armada Nacional para la gestión de los servicios funerarios son oportunos? (Si no es o no ha sido usuario por favor seleccione la respuesta de acue...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).8;"¿CONOCE EL PROGRAMA DE VIVIENDAS Y ALOJAMIENTOS MILITARES?
Elevar la calidad de vida de los tripulantes en servicio activo de la Armada Nacional y su familia, mediante la asignación de alojamiento...";¿Está conforme con el servicio de viviendas y alojamientos militares para los tripulantes y sus familias? (Si no es o no ha sido usuario por favor seleccione la respuesta de acuerdo a su percepción);Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).9;"¿CONOCE EL PROGRAMA DE PREPARACIÓN PARA EL RETIRO?
  “Héroes vuelven a casa” (IMP) y Seminario fortalecimiento familiar (OF y S/O), busca facilitar la adaptación del personal militar de la Armada ...";¿El Programa de desvinculación asistida y preparación para el retiro facilita la adaptación del funcionario al nuevo entorno social, familiar y laboral? (Si no es o no ha sido usuario por favor se...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).10;¿Se ha enterado oportunamente de la realización de las actividades de bienestar programadas por su unidad?;¿En el desarrollo de las actividades de bienestar se evidencia el compromiso del personal encargado en su unidad?;¿Se le brinda el tiempo y las facilidades para asistir a las actividades de bienestar en su unidad?;Seleccione ¿Cuál de los siguientes motivos le ha dificultado recibir o participar de los beneficios o actividades de bienestar? ;Le solicitamos nos brinde sugerencias o aportes que nos sirvan para mejorar las actividades enmarcadas dentro de los programas de bienestar en su unidad.
26334;9/16/24 13:26:12;9/16/24 13:28:31;anonymous;;Comité N° 7. BRIM1;;;;;;;BRIM1;;;;;;;;;;Suboficial;;;;21 años o más;Casado (a);SI;4;;5;;SI;5;;5;;SI;5;;SI;5;;SI;4;;SI;5;;SI;5;;SI;4;;5;5;5;No he tenido dificultades;
26335;9/16/24 13:25:49;9/16/24 13:29:01;anonymous;;Comité N° 1. COARC;JEMPE;;;;;;;;;;;;;;;;Suboficial;;;;21 años o más;Casado (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;Ninguna
26336;9/16/24 13:22:12;9/16/24 13:29:47;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM24;;;;;;;;;Suboficial;;;;16 a 20 años;Casado (a);NO;1;Falta de difusión ;1;Falta de difusión ;NO;1;Pocas y/o no se Realizan ;1;Pocas y/o no se Realizan ;NO;1;Solo se Realizan en celebración de fechas especiales ;NO;3;Desconozco la calidad de este servicio ;NO;1;Pocas o no se Realizan ;NO;3;Falta de difusión ;NO;3;No soy usuario ;NO;3;No hay difusión ;1;3;3;Necesidades operacionales o actos del servicio;Mayor difusión 
26337;9/16/24 13:24:49;9/16/24 13:29:57;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM24;;;;;;;;;Suboficial;;;;21 años o más;Casado (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;Mantener la constancia y el apoyo al personal que se desempeña en el área de operaciones 
26338;9/16/24 13:26:33;9/16/24 13:30:29;anonymous;;Comité N° 11. BRIM5;;;;;;;;;;;BFIM51;;;;;;Infante de Marina Profesional;;;;16 a 20 años;Separado / Divorciado (a);NO;3;Comandante no postula;3;Los encargados no postulan;NO;3;La unidad  no las  realiza  ;3;La unidad  no las  realiza  ;NO;2;No se divulgan;NO;2; Planta física;NO;2; No los conoce;SI;3;Mala atención;NO;1;Poca disponibilidad  ;NO;3; Poca variedad cursos;3;2;3;No autorización del comandante;
26339;9/16/24 13:08:19;9/16/24 13:31:14;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM23;;;;;;;;;Suboficial;;;;11 a 15 años;Casado (a);SI;2;Comandante no postula;2;En la unidad no se divulga;NO;2;No asisto por exceso de carga laboral;2;La unidad  no las  realiza  ;NO;2;No se divulgan;NO;2;Calidad de docentes  ;NO;2; No los conoce;NO;2; Desinformación;NO;2;Poca disponibilidad  ;NO;2;No cumple expectativas;2;2;2;Desconocimiento de la realización de las actividades;
26340;9/16/24 13:19:17;9/16/24 13:31:15;anonymous;;Comité N° 7. BRIM1;;;;;;;BIM13;;;;;;;;;;Infante de Marina Profesional;;;;6 a 10 años;Soltero (a);NO;1;Comandante no postula;1;En la unidad no se divulga;NO;1; Me encuentro en el desarrollo operaciones;1;La unidad  no las  realiza  ;NO;1;No se divulgan;NO;1;No he sido usuario ;NO;1; No los conoce;NO;1; Desinformación;NO;1;Mala infraestructura;NO;1;No he sido usuario ;1;1;1;Desconocimiento de la realización de las actividades;Mejoramiento de alojamiento de Imp
26341;9/16/24 13:30:02;9/16/24 13:31:36;anonymous;;Comité N° 7. BRIM1;;;;;;;DMCOR;;;;;;;;;;Suboficial;;;;6 a 10 años;Casado (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
26342;9/16/24 13:25:07;9/16/24 13:31:58;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM21;;;;;;;;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);SI;2;Poco tiempo en la institución;3;Los encargados no postulan;SI;3; Me encuentro en el desarrollo operaciones;3;La unidad  no las  realiza  ;SI;3;No se divulgan;NO;3;Calidad de docentes  ;NO;3; No los conoce;NO;3; Desinformación;NO;3; Costos;NO;3; Poca variedad cursos;3;3;3;No he tenido dificultades;
26343;9/16/24 13:29:46;9/16/24 13:32:09;anonymous;;Comité N° 3. FNP;;;CGFNP;;;;;;;;;;;;;;Suboficial;;;;6 a 10 años;Soltero (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;Calidad de docentes  ;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;Exceso de carga laboral ;Bien
26344;9/16/24 13:30:44;9/16/24 13:32:17;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM23;;;;;;;;;Suboficial;;;;6 a 10 años;Soltero (a);NO;3;Poco tiempo en la institución;3;En la unidad no se divulga;SI;3; Me encuentro en el desarrollo operaciones;3;La unidad  no las  realiza  ;NO;3;La unidad  no las  realiza  ;SI;3; Planta física;SI;4; No los conoce;SI;3;Personal no idóneo  ;SI;3;Poca disponibilidad  ;SI;3;Proceso muy corto  ;3;3;3;Responsabilidades personales o familiares;Mejorar
26345;9/16/24 13:30:21;9/16/24 13:33:00;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM22;;;;;;;;;Suboficial;;;;0 a 5 años;Soltero (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;Necesidades operacionales o actos del servicio;
26346;9/16/24 13:30:40;9/16/24 13:33:04;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM22;;;;;;;;;Oficial;;;;0 a 5 años;Soltero (a);SI;5;Poco tiempo en la institución;4;En la unidad no se divulga;NO;4;La unidad  no las  realiza  ;4;La unidad  no las  realiza  ;SI;4;La unidad  no las  realiza  ;SI;4;Calidad de docentes  ;SI;4;No cumple expectativas  ;SI;4;Personal no idóneo  ;SI;4;Poca disponibilidad  ;SI;4;Proceso muy corto  ;4;4;4;No autorización del comandante;Necesitamos urgentemente BOTES TIPO PIRAÑA PARA CONFIRMAR ELEMENTOS DE COMBATE FLUVIAL 
26347;9/16/24 13:26:54;9/16/24 13:33:10;anonymous;;Comité N° 3. FNP;;;CGFNP;;;;;;;;;;;;;;Suboficial;;;;16 a 20 años;Unión libre;NO;2;Nunca llegan ;4;En la unidad no se divulga;NO;2; Me encuentro en el desarrollo operaciones;2; Poco presupuesto en la unidad para estas actividades;NO;2; No son apropiadas;NO;2;No tengo ;NO;2; No los conoce;NO;2;Personal no idóneo  ;NO;2;Mala infraestructura;NO;2;Proceso muy corto  ;2;2;2;No he tenido dificultades;Que las personas  que maneje el proceso sean parciales 
26348;9/16/24 13:26:56;9/16/24 13:33:37;anonymous;;Comité N° 3. FNP;;;CGFNP;;;;;;;;;;;;;;Suboficial;;;;21 años o más;Casado (a);SI;3;;4;;SI;4;;4;;SI;4;;SI;3;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;
26349;9/16/24 13:29:52;9/16/24 13:33:42;anonymous;;Comité N° 2. FNC;;CGFNC;;;;;;;;;;;;;;;Infante de Marina Profesional;;;;16 a 20 años;Unión libre;SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;5;;NO;1;No hay para infantes profesionales;SI;4;;4;4;5;Necesidades operacionales o actos del servicio;
26350;9/16/24 12:50:09;9/16/24 13:34:06;anonymous;;Comité N° 11. BRIM5;;;;;;;;;;;BFIM51;;;;;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);NO;2;Poco tiempo en la institución;1;En la unidad no se divulga;SI;4;;4;;SI;4;No se divulgan;NO;3;;NO;1; No los conoce;SI;3; Desinformación;NO;1;;NO;1;;3;4;4;No he tenido dificultades;
26351;9/16/24 13:30:34;9/16/24 13:34:45;anonymous;;Comité N° 2. FNC;;GAULA BOLIVAR;;;;;;;;;;;;;;;Infante de Marina Profesional;;;;11 a 15 años;Casado (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;
26352;9/16/24 13:30:01;9/16/24 13:34:47;anonymous;;Comité N° 2. FNC;;BNL01;;;;;;;;;;;;;;;Suboficial;;;;21 años o más;Casado (a);SI;5;;5;;NO;5;;5;;SI;5;;NO;1;;NO;1; No los conoce;NO;1; Desinformación;SI;5;;NO;5; Poca variedad cursos;3;3;3;Desconocimiento de la realización de las actividades;N/a
26353;9/16/24 13:30:18;9/16/24 13:34:48;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM23;;;;;;;;;Civil ARC;;;;0 a 5 años;Soltero (a);SI;5;Bien;5;Bien ;SI;5;Bien;5;Bien;SI;5;Bien;SI;5;Bien;SI;5;Bien;SI;5;Bien;SI;5;Bien;SI;5;Bien;5;5;5;Bien;
26354;9/16/24 13:30:25;9/16/24 13:35:28;anonymous;;Comité N° 3. FNP;;;CGFNP;;;;;;;;;;;;;;Suboficial;;;;6 a 10 años;Soltero (a);SI;3;Poco tiempo en la institución;3;Los encargados no postulan;NO;3; Me encuentro en el desarrollo operaciones;3; Poco presupuesto en la unidad para estas actividades;SI;3;La unidad  no las  realiza  ;SI;3;Calidad académica;SI;3; No los conoce;SI;3; Desinformación;SI;3;Poca disponibilidad  ;SI;3; Poca variedad cursos;3;3;3;No he tenido dificultades;
26355;9/16/24 13:28:03;9/16/24 13:35:56;anonymous;;Comité N° 7. BRIM1;;;;;;;BIM13;;;;;;;;;;Infante de Marina Profesional;;;;0 a 5 años;Unión libre;SI;1;Estoy recién traslado ;4;;NO;4;;3; Poco presupuesto en la unidad para estas actividades;NO;3;No se divulgan;SI;3;;NO;3; No los conoce;SI;5;;SI;5;;SI;5;;4;4;4;Desconocimiento de la realización de las actividades;
26356;9/16/24 13:31:50;9/16/24 13:36:01;anonymous;;Comité N° 3. FNP;;;CGFNP;;;;;;;;;;;;;;Suboficial;;;;16 a 20 años;Separado / Divorciado (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;3;No hay en mi unidad ;SI;3;No cumple expectativas  ;SI;4;;SI;4;;SI;4;;4;3;3;Necesidades operacionales o actos del servicio;Rotar al personal con menos tiempo en unidades que no cuentan con condiciones básicas de bienestar ejemplo BFLIM22
26357;9/16/24 13:31:02;9/16/24 13:37:31;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM24;;;;;;;;;Infante de Marina Profesional;;;;11 a 15 años;Unión libre;NO;1;Comandante no postula;1;En la unidad no se divulga;NO;1;La unidad  no las  realiza  ;1;La unidad  no las  realiza  ;NO;5;;NO;5;;NO;1;Mala atención;NO;1; Desinformación;NO;1;Mala infraestructura;SI;1;Proceso muy corto  ;1;1;1;Desconocimiento de la realización de las actividades;Debería ser una orden dar bienestar en estas unidades 
26358;9/16/24 13:25:56;9/16/24 13:37:33;anonymous;;Comité N° 7. BRIM1;;;;;;;BIM13;;;;;;;;;;Suboficial;;;;0 a 5 años;Casado (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;Tener en cuenta las unidades más alejadas 
26359;9/16/24 13:33:55;9/16/24 13:37:46;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Suboficial;;;;21 años o más;Casado (a);SI;5;;5;;SI;5;;5;;SI;4;;SI;4;;SI;5;;SI;4;;SI;4;;SI;4;;4;5;5;Necesidades operacionales o actos del servicio;
26360;9/16/24 13:23:46;9/16/24 13:37:48;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM22;;;;;;;;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);SI;2;Comandante no postula;3;Los encargados no postulan;SI;4; Me encuentro en el desarrollo operaciones;3; Poco presupuesto en la unidad para estas actividades;SI;3; No son apropiadas;SI;1;;SI;4; No los conoce;SI;5;;SI;5; Costos;SI;5;;4;4;4;No he tenido dificultades;
26361;9/16/24 13:34:44;9/16/24 13:37:51;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM24;;;;;;;;;Suboficial;;;;0 a 5 años;Soltero (a);NO;5;;5;;NO;5;;5;;SI;5;;SI;5;;NO;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
26362;9/16/24 13:35:17;9/16/24 13:38:15;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Suboficial;;;;0 a 5 años;Soltero (a);NO;3;Poco tiempo en la institución;3;En la unidad no se divulga;NO;3;No asisto por exceso de carga laboral;3;La unidad  no las  realiza  ;NO;3;No se divulgan;NO;3;Calidad académica;NO;3; No los conoce;NO;3;Personal no idóneo  ;NO;3;Poca disponibilidad  ;NO;3;Proceso muy corto  ;3;3;3;No he tenido dificultades;
26363;9/16/24 13:35:42;9/16/24 13:38:30;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM22;;;;;;;;;Suboficial;;;;0 a 5 años;Soltero (a);SI;4;;4;;NO;4;;4;;SI;4;;NO;4;;NO;4;;NO;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;
26364;9/16/24 13:35:13;9/16/24 13:38:47;anonymous;;Comité N° 3. FNP;;;CGFNP;;;;;;;;;;;;;;Suboficial;;;;16 a 20 años;Unión libre;NO;2;Mal desempeño;2;Los encargados no postulan;NO;2;La unidad  no las  realiza  ;2;La unidad  no las  realiza  ;NO;2;No se divulgan;NO;2;No tengo ;NO;2;No cumple expectativas  ;NO;2;Personal no idóneo  ;NO;2;Mala infraestructura;NO;2; Poca variedad cursos;2;2;2;No he tenido dificultades;Coloca persona con transparencia en los proceso 
26365;9/16/24 13:37:02;9/16/24 13:38:48;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM23;;;;;;;;;Oficial;;;;0 a 5 años;Casado (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
26366;9/16/24 13:34:39;9/16/24 13:39:06;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Infante de Marina Profesional;;;;11 a 15 años;Casado (a);SI;4;Comandante no postula;4;;SI;2;No asisto por exceso de carga laboral;4;;SI;4;;NO;3;Calidad de docentes  ;NO;3; No los conoce;NO;3;Mala atención;NO;3;Poca disponibilidad  ;NO;3; Poca variedad cursos;4;4;4;Desconocimiento de la realización de las actividades;Enviar a lugares con más anbiente
26367;9/16/24 13:34:58;9/16/24 13:39:12;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
26368;9/16/24 13:28:19;9/16/24 13:39:41;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM24;;;;;;;;;Infante de Marina Profesional;;;;16 a 20 años;Unión libre;NO;2;Me reservó la respuesta;1;Los encargados no postulan;NO;2;La unidad  no las  realiza  ;2; Poco presupuesto en la unidad para estas actividades;SI;2;La unidad  no las  realiza  ;NO;1;No uso ese servicio;NO;1;No lo ayudan a uno, tengo muy mala experiencia con esta Oficina;NO;2;Personal no idóneo  ;NO;1;No nos asignan vivienda a los soldados;NO;1;No cumple expectativas;1;1;1;Se dio prioridad a otros grados o categorías;
26369;9/16/24 13:33:53;9/16/24 13:39:45;anonymous;;Comité N° 2. FNC;;CGFNC;;;;;;;;;;;;;;;Suboficial;;;;16 a 20 años;Casado (a);NO;3;Comandante no postula;3;Los encargados no postulan;NO;3;La unidad  no las  realiza  ;3; Poco presupuesto en la unidad para estas actividades;SI;5;La unidad  no las  realiza  ;NO;3;Calidad de docentes  ;NO;3;Mala atención;NO;3; Desinformación;SI;4;Mala infraestructura;NO;4;Proceso muy corto  ;4;4;4;Desconocimiento de la realización de las actividades;Nunca solucionan 
26370;9/16/24 13:31:53;9/16/24 13:40:03;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM23;;;;;;;;;Civil ARC;;;;6 a 10 años;Soltero (a);SI;5;Bien ;5;Bien;SI;5;Bien;5;Bien;SI;5;Bien ;SI;5;Bien ;SI;5;Bien ;SI;5;Bien;SI;5;Bueno;SI;5;Bueno ;5;5;5;No he tenido dificultades;Todo esta bien  
26371;9/16/24 13:34:31;9/16/24 13:40:27;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);SI;4;Poco tiempo en la institución;5;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;
26372;9/16/24 13:34:23;9/16/24 13:40:33;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;
26373;9/16/24 13:37:34;9/16/24 13:40:38;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM24;;;;;;;;;Infante de Marina Profesional;;;;6 a 10 años;Soltero (a);SI;5;Exelente trabajo;5;Los encargados no postulan;SI;5;La unidad  no las  realiza  ;5;La unidad  no las  realiza  ;SI;5;La unidad  no las  realiza  ;SI;5;Calidad académica;SI;5; No los conoce;SI;5; Desinformación;SI;5; Costos;SI;5;Proceso muy corto  ;5;5;5;No he tenido dificultades;
26374;9/16/24 13:31:07;9/16/24 13:40:46;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM24;;;;;;;;;Infante de Marina Profesional;;;;11 a 15 años;Casado (a);NO;3;Comandante no postula;3;En la unidad no se divulga;SI;4;No tengo mi núcleo familiar presente ;4; Poco presupuesto en la unidad para estas actividades;SI;4;;NO;3;No tengo a mis hijos inscritos ;NO;3; No los conoce;NO;3; Desinformación;NO;3;Mala infraestructura;SI;4;;3;3;3;Exceso de carga laboral ;
26375;9/16/24 13:36:11;9/16/24 13:40:51;anonymous;;Comité N° 2. FNC;;CGFNC;;;;;;;;;;;;;;;Infante de Marina Profesional;;;;16 a 20 años;Unión libre;SI;4;Cualquiera;5;Otros ;SI;5;No asisto por exceso de carga laboral;5;No asisten por exceso de carga laboral;SI;5;Otros;SI;5;Calidad académica;SI;4; No los conoce;SI;5;Mala atención;SI;5;Poca disponibilidad  ;NO;5;Otros;5;5;5;Desconocimiento de la realización de las actividades;Exelente 
26376;9/16/24 13:38:56;9/16/24 13:40:55;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM22;;;;;;;;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
26377;9/16/24 13:35:01;9/16/24 13:41:02;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Infante de Marina Profesional;;;;11 a 15 años;Casado (a);NO;2;Comandante no postula;2;Los encargados no postulan;NO;2; Me encuentro en el desarrollo operaciones;2;La unidad  no las  realiza  ;SI;2;No se divulgan;NO;2; Planta física;NO;2;Mala atención;NO;2;Personal no idóneo  ;SI;2; Costos;SI;3; Poca variedad cursos;3;3;3;Desinterés personal en participar;
26378;9/16/24 13:36:17;9/16/24 13:41:30;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Suboficial;;;;0 a 5 años;Soltero (a);NO;1;Comandante no postula;2;Los encargados no postulan;NO;2;La unidad  no las  realiza  ;2;La unidad  no las  realiza  ;NO;1; No son apropiadas;SI;4;Calidad académica;SI;4;;SI;4;;SI;3;;SI;4;;3;4;4;Responsabilidades personales o familiares;
26379;9/16/24 13:35:36;9/16/24 13:41:32;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Infante de Marina Profesional;;;;6 a 10 años;Soltero (a);NO;2;Poco tiempo en la institución;2;En la unidad no se divulga;NO;4;;4;;NO;4;;NO;4;;NO;4;;NO;4;;NO;4;;NO;4;;4;4;4;Desconocimiento de la realización de las actividades;
26380;9/16/24 13:32:18;9/16/24 13:41:35;anonymous;;Comité N° 4. FNO;;;;CGFNO;;;;;;;;;;;;;Infante de Marina Profesional;;;;11 a 15 años;Casado (a);NO;3;Comandante no postula;1;Los encargados no postulan;NO;3; Me encuentro en el desarrollo operaciones;3; Poco presupuesto en la unidad para estas actividades;NO;3;No se divulgan;NO;3;Muy costoso;NO;3; No los conoce;SI;3; Desinformación;NO;3; Costos;SI;4; Poca variedad cursos;3;4;3;Necesidades operacionales o actos del servicio;Avisar a todo el personal sin tener prioridades con el personal
26381;9/16/24 13:34:38;9/16/24 13:41:36;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Suboficial;;;;0 a 5 años;Soltero (a);SI;1;Poco tiempo en la institución;1;En la unidad no se divulga;SI;4;;4;;SI;5;;SI;4;;SI;4;;SI;4;;NO;4;;SI;4;;4;4;4;No he tenido dificultades;
26382;9/16/24 13:15:50;9/16/24 13:41:48;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM23;;;;;;;;;Civil ARC;;;;0 a 5 años;Soltero (a);SI;5;Bien;5;Bien ;SI;5;Bien ;5;Bien ;SI;5;Bien ;SI;5;Bien ;SI;5;Bien ;SI;5;Bien ;SI;5;Bien ;SI;5;Bien ;5;5;5;Bien ;Bien 
26383;9/16/24 13:36:16;9/16/24 13:41:58;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Infante de Marina Profesional;;;;0 a 5 años;Soltero (a);NO;1;Poco tiempo en la institución;5;;NO;5;;4;;SI;3;;NO;2;;NO;3;;NO;1;;NO;2;;NO;1;;3;3;3;No he tenido dificultades;
26384;9/16/24 13:39:36;9/16/24 13:42:06;anonymous;;Comité N° 8. BRIM2;;;;;;;;BFIM22;;;;;;;;;Civil ARC;;;;16 a 20 años;Casado (a);SI;5;;5;;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;
26385;9/16/24 13:34:04;9/16/24 13:42:12;anonymous;;Comité N° 15. BFIM16;;;;;;;;;;;;;;;BFIM16;;Infante de Marina Profesional;;;;0 a 5 años;Unión libre;SI;4;Poco tiempo en la institución;4;Poco tiempo en la unidad ;SI;5;;5;;SI;5;;SI;5;;SI;5;;SI;5;;SI;3;;SI;5;;4;4;4;No he tenido dificultades;
26386;9/16/24 13:32:17;9/16/24 13:42:17;anonymous;;Comité N° 8. BRIM2;;;;;;;;BIM21;;;;;;;;;Suboficial;;;;21 años o más;Casado (a);SI;2;Omitido ;2;Omitido;SI;2;Omitido;2;Omitido;SI;2;Omitido;SI;1;No soy usuario;SI;3;No cumple expectativas  ;NO;1;Nunca he usado el servicio. ;SI;4;Poca disponibilidad  ;NO;3;Omitido;3;3;3;Necesidades operacionales o actos del servicio;"Se debe invertir más recursos económicos para satisfacer las necesidades de bienestar del personal; no son solo felicitaciones y medallas. "
